Hora y dia del Sismo,Latitud,Longitud,Magnitud,Profundidad del Hipocentro,Lugar del Epicentro
2023/06/14 19:01,37.6,137.3,3.9,10km,Alta mar de Península de Noto
2023/06/14 08:43,29.7,129.9,2.7,10km,Mares cercanos de Islas Tokara
2023/06/14 08:30,29.7,129.9,2.4,10km,Mares cercanos de Islas Tokara
2023/06/14 08:23,29.8,129.8,3.1,10km,Mares cercanos de Islas Tokara
2023/06/13 17:03,29.7,129.8,2.5,10km,Mares cercanos de Islas Tokara
2023/06/13 15:49,29.7,129.8,2.4,10km,Mares cercanos de Islas Tokara
2023/06/13 07:32,37.5,137.2,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/12 13:51,39.4,141.9,3.8,60km,Costa norte de Prefectura de Iwate
2023/06/12 10:06,29.9,130.0,1.8,10km,Mares cercanos de Islas Tokara
2023/06/12 06:27,35.2,135.0,2.5,10km,Sudeste de Prefectura de Hyogo
2023/06/12 03:56,29.9,130.0,2.3,10km,Mares cercanos de Islas Tokara
2023/06/11 21:25,24.2,122.5,4.7,40km,Mares cercanos de Isla Yonaguni
2023/06/11 18:55,42.5,142.0,6.2,140km,Alta mar de Uraga
2023/06/11 05:53,45.2,141.8,2.7,10km,Norte de región Soya
2023/06/11 02:45,37.0,140.4,2.9,80km,"Nakadori, Prefectura de Fukushima"
2023/06/11 01:21,33.9,135.2,4.1,50km,Norte de Prefectura de Wakayama
2023/06/11 01:01,37.5,137.3,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/10 18:22,45.2,141.8,2.5,20km,Norte de región Soya
2023/06/10 17:57,38.7,142.0,3.6,60km,Alta mar de Prefectura de Miyagi
2023/06/10 06:21,37.5,137.2,3.1,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/10 03:45,34.5,139.2,2.6,10km,"Mares cercanas de Isla Niijima, Kozujima"
2023/06/10 03:41,32.9,131.0,2.1,10km,"Región Aso, Prefectura de Kumamoto"
