"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1995"",""Country = JAPAN""]"																																						
	2007	3	25	0	41	57.8	3035		"JAPAN:  HONSHU:  W COAST"	37.336	136.588	8	6.7	5	1	1			359	3		3	13556	4			1	1			359	3		3	13556	4		
	2007	4	15	3	19	30.3			"JAPAN:  HONSHU:  W"	34.807	136.239	16	4.6						12	1		2	63	1							12	1		2	63	2		
	2007	7	16	1	13	22	3104		"JAPAN:  HONSHU:  W COAST"	37.57	138.478	10	6.6		9	1			1088	4	12500	4			875	3	9	1			1088	4	12500	4			875	3
	2007	9	28	13	38	57.8			"JAPAN:  VOLCANO ISLANDS"	22.013	142.668	260	7.5																									
	2008	5	7	16	45	20.2			"JAPAN:  HONSHU:  E COAST"	36.158	141.521	39	6.8						6	1		1									6	1		1				
	2008	6	13	23	43	45.3			"JAPAN:  HONSHU:  TOKYO"	39.03	140.881	8	6.9		13	1			357	3		3			614	3	13	1			357	3		3			614	3
	2008	7	19	2	39	28.7	3558		"JAPAN:  OFF EAST COAST OF HONSHU ISLAND"	37.552	142.214	22	6.9																									
	2008	7	23	15	26	19.9			"JAPAN:  HONSHU:  N"	39.802	141.464	108	6.8		1	1			200	3		2	90	2	90	2	1	1			200	3		2			90	2
	2008	9	11	0	20	50.9	3589		"JAPAN:  HOKKAIDO"	41.892	143.754	25	6.8																									
	2009	8	10	20	7	9.1	4418		"JAPAN:  HONSHU:  S COAST"	34.743	138.264	40	6.4		1	1			123	3		3			5192	4	1	1			123	3		3			5192	4
